id,name,geometry,buildstart,opening,closure,city_id
7718,Malpassé,POINT(5.4164002 43.3210103),1973,1977,999999,74
7731,Saint-Charles,POINT(5.3800594 43.3024033),1973,1977,999999,74
7720,Saint-Just,POINT(5.4064335 43.3154654),1973,1977,999999,74
7769,Désirée Clary,POINT(5.3722212 43.3093212),,1987,999999,74
6191,Horinouchi,POINT(139.686873598445 35.2632293031674),1930,1930,999999,114
6195,Oguchi,POINT(139.646262148246 35.492442838782),1947,1947,999999,114
6198,Kozukue,POINT(139.600030318088 35.5085435290295),1908,1908,999999,114
7725,Réformés - Canebière,POINT(5.3863422 43.3004056),1973,1977,999999,74
7739,Baille,POINT(5.3919764 43.2881097),0,0,999999,74
7751,Estrangin - Préfecture,POINT(5.3780653 43.2901774),,1978,999999,74
7766,Notre-Dame-du-Mont - Cours Julien,POINT(5.3838357 43.2925227),,1984,999999,74
7735,Jules Guesde,POINT(5.3739621 43.3020303),,1984,999999,74
7747,Saint-Barnabé,POINT(5.4187884 43.303331),2010,2010,999999,74
7743,Saint-Barnabé,POINT(5.4187943 43.303309),,2010,999999,74
7761,Périer,POINT(5.3875983 43.2794419),,1986,999999,74
7757,Périer,POINT(5.3876325 43.2794522),,1986,999999,74
8532,Garibaldi Berthelot,POINT(4.8468949 45.7436882),0,0,999999,70
8534,Route de Vienne,POINT(4.8517781 45.742127),0,0,999999,70
8536,Jet d'eau - Mendès France,POINT(4.8588068 45.7398789),0,0,999999,70
8537,Boutasse - Camille Rousset,POINT(4.9044755 45.7349162),0,0,999999,70
8793,Maquista Savio,POINT(-58.772075237896 -34.4068488867455),1960,1960,999999,1
8794,Garín,POINT(-58.7365985084175 -34.4216064313159),1863,1892,999999,1
8973,Fudosonmae,POINT(139.797435954971 35.6713520390654),1914,1914,1972,114
6145,Omorikaigan,POINT(139.735408146469 35.5877580228189),1901,1901,999999,114
6204,Machida,POINT(139.445006351032 35.542297214971),1908,1908,999999,114
6147,Keikyu-Kawasaki,POINT(139.700803168265 35.5328707984679),1901,1901,999999,114
6150,Uraga,POINT(139.715113022179 35.251326462535),1930,1930,999999,114
6207,Yabe,POINT(139.386190417614 35.5733167101176),1957,1957,999999,114
6155,Samezu,POINT(139.742296083167 35.6050148279526),1904,1904,999999,114
6158,Omorimachi,POINT(139.732031431148 35.5724970550142),1952,1952,999999,114
6575,Higashi-Kaijin,POINT(139.9806377553 35.7059277240036),1984,1996,999999,114
6161,Zoshiki,POINT(139.715150473879 35.5500481400463),1901,1901,999999,114
6210,Aihara,POINT(139.331687772558 35.6069059520622),1908,1908,999999,114
6164,Tsurumi-ichiba,POINT(139.68666745733 35.517852778075),1905,1905,999999,114
6167,Namamugi,POINT(139.667783586789 35.4960113669006),1905,1905,999999,114
6170,Kanagawa-shimmachi,POINT(139.639991256707 35.4814138042987),1915,1915,999999,114
6213,Hachioji,POINT(139.338786665823 35.655311222942),1908,1908,999999,114
6173,Hinodecho,POINT(139.626671779511 35.445605074507),1931,1931,999999,114
6176,Gumyoji,POINT(139.596838987971 35.4243402924838),1930,1930,999999,114
6606,Center-Minami,POINT(139.574378752835 35.5457383389576),1993,1993,999999,114
6179,Sugita,POINT(139.615619797161 35.3840137091757),1930,1930,999999,114
6566,Haijima,POINT(139.343345575628 35.7212084653746),1925,1925,999999,114
6182,Kanazawa-bunko,POINT(139.621586748925 35.3428515700238),1930,1930,999999,114
6185,Keikyu-Taura,POINT(139.625164047066 35.3008239276321),1930,1930,999999,114
6576,Hasama,POINT(140.022157826581 35.713994812757),1984,1996,999999,114
6188,Shioiri,POINT(139.662205129488 35.2802763155327),1930,1930,999999,114
6567,Musashi-Itsukaichi,POINT(139.228003241889 35.7322542632239),1925,1925,999999,114
6568,Kumagawa,POINT(139.335356637412 35.7284705589472),1931,1931,999999,114
6201,Tokaichiba,POINT(139.516627040832 35.5262852739475),1979,1979,999999,114
6569,Higashi-Akiru,POINT(139.31109514162 35.7259907486727),1925,1925,999999,114
6577,Kita-Narashino,POINT(140.042109836464 35.7215590594025),1984,1996,999999,114
6570,Akigawa,POINT(139.28667625156 35.728078423398),1925,1925,999999,114
6571,Musashi-Hikida,POINT(139.270099722812 35.7297072784193),1930,1930,999999,114
6572,Musashi-Masuko,POINT(139.256311986211 35.73094471195),1925,1925,999999,114
6578,Funabashi-Nichidaimae,POINT(140.05902273867 35.7269374899365),1984,1996,999999,114
6574,Toyo-Katsutadai,POINT(140.126219516297 35.715811431328),1984,1996,999999,114
6599,Maioka,POINT(139.550820402896 35.4025382442576),1985,1985,999999,114
6579,Yachiyo-Midorigaoka,POINT(140.073093583724 35.7288619251862),1984,1996,999999,114
6580,Yachiyo-chuo,POINT(140.103379760306 35.7278617476951),1984,1996,999999,114
6581,Murakami,POINT(140.118451636078 35.7237153392332),1984,1996,999999,114
6594,Isezakichojamachi,POINT(139.633058229627 35.4409562403459),1972,1972,999999,114
6595,Kami-Ooka,POINT(139.595977247066 35.4090492413965),1972,1972,999999,114
6601,Azamino,POINT(139.553492551698 35.5682659705304),1993,1993,999999,114
521,"Miguel Hernández

",POINT(-3.64049867875386 40.387493082728),1990,1994,999999,71
6597,Kami-Nagaya,POINT(139.572578384487 35.4014453672782),1976,1976,999999,114
6608,Nippa,POINT(139.611927863385 35.5275930864441),1993,1993,999999,114
6605,Center-Kita,POINT(139.578274351498 35.553492314719),1993,1993,999999,114
6607,Nakamachidai,POINT(139.589614545932 35.5353024930795),1993,1993,999999,114
6609,Kita Shin-Yokohama,POINT(139.612751732033 35.5192702191043),1993,1993,999999,114
6610,Kishine-koen,POINT(139.617100193365 35.4961156168717),1985,1985,999999,114
14875,South Station,POINT(-71.0560466018112 42.3514739964261),1901,1901,1938,139
545,"",POINT(-3.79908563706147 40.2827509435186),1999,2003,999999,71
23416,Byparken,POINT(5.32537876467941 60.3920348772713),2007,2010,,344
6615,Sakuragicho,POINT(139.630731405514 35.449760135006),1976,1976,999999,114
6616,Kannai,POINT(139.636752003691 35.4453133418184),1976,1976,999999,114
16720,Henriksdal,POINT(18.1082589642786 59.3122257402238),0,0,999999,110
6617,Bandobashi,POINT(139.625152590034 35.4374724150998),1972,1972,999999,114
14874,Beach Street,POINT(-71.0605230520482 42.3513655302996),1901,1901,1919,139
6152,Shinagawa,POINT(139.738045110884 35.6283209304019),1925,1925,999999,114
6202,Nagatsuta,POINT(139.49514913967 35.531704703008),1908,1908,999999,114
6146,Kita-Shinagawa,POINT(139.739284599722 35.6223167943335),1904,1904,999999,114
6149,Koganecho,POINT(139.622938991807 35.4398783888083),1930,1930,999999,114
6631,Kannai,POINT(139.636027880432 35.4440669799659),1964,1964,999999,114
6151,Yokohama,POINT(139.62321187457 35.4661153356086),1929,1929,999999,114
6205,Kobuchi,POINT(139.419326473824 35.5559617439853),1988,1988,999999,114
6154,Aomono-yokocho,POINT(139.743083965395 35.6088508874718),1904,1904,999999,114
6157,Heiwajima,POINT(139.734967531779 35.5787156809064),1901,1901,999999,114
24928,Nijiaqiao,POINT(104.06436512226 30.6273112076696),2006,2010,,364
6160,Keikyu-Kamata,POINT(139.723801383994 35.5610252226911),1901,1901,999999,114
6208,Sagamihara,POINT(139.370743845247 35.581431599852),1941,1941,999999,114
6163,Hatchonawate,POINT(139.69140235695 35.5230096626625),1916,1916,999999,114
6166,Kagetsuen-mae,POINT(139.672981569349 35.5003941431524),1914,1914,999999,114
6169,Koyasu,POINT(139.645149169649 35.4846514246078),1905,1905,999999,114
6211,Hachioji-Minamino,POINT(139.330887463507 35.6312374404089),1997,1997,999999,114
6172,Tobe,POINT(139.619551771759 35.4567412740783),1931,1931,999999,114
6175,Idogaya,POINT(139.600791196961 35.4339881521531),1930,1930,999999,114
6178,Byobugaura,POINT(139.610266594056 35.3942564844783),1930,1930,999999,114
6585,Hiyoshi,POINT(139.646995634743 35.5533541094196),2001,2008,999999,114
6181,Nokendai,POINT(139.62942362743 35.360855548956),1944,1944,999999,114
6184,Oppama,POINT(139.624858289813 35.3157846975716),1930,1930,999999,114
6598,Shin-Yokohama,POINT(139.617335216906 35.5090058140706),1985,1985,999999,114
6187,Hemi,POINT(139.652852530142 35.2804891265909),1930,1930,999999,114
6586,Hiyoshi-Honcho,POINT(139.633659952333 35.550062548541),2001,2008,999999,114
6190,Kenritsudaigaku,POINT(139.676626779368 35.2701803808432),1930,1930,999999,114
6193,Maborikaigan,POINT(139.707624010119 35.259615271656),1930,1930,999999,114
6196,Kikuna,POINT(139.630177568283 35.5096870119799),1926,1926,999999,114
6587,Takata,POINT(139.619966408901 35.5496146165631),2001,2008,999999,114
6199,Kamoi,POINT(139.567229961089 35.5109675830983),1962,1962,999999,114
6600,Totsuka,POINT(139.5342424877 35.4007986510599),1987,1987,999999,114
6588,Higashi-Yamata,POINT(139.604494849005 35.5541540458451),2001,2008,999999,114
6589,Kita-Yamata,POINT(139.592106494359 35.5610594726801),2001,2008,999999,114
6632,Ishikawacho,POINT(139.642758789773 35.4392225303455),1964,1964,999999,114
33545,Chorleywood,POINT(-0.518388237366196 51.6541884773712),,1889,,69
31224,"",POINT(123.400311592186 41.7871718280729),,2010,,380
6590,Center Kita,POINT(139.57867719334 35.553392514293),2001,2008,999999,114
6602,Shonandai,POINT(139.466697484349 35.396340893644),1999,1999,999999,114
6591,Center Minami,POINT(139.574806564164 35.5456114627165),2001,2008,999999,114
6592,Tsuzuki-Fureai-no-Oka,POINT(139.561334435372 35.5365503929659),2001,2008,999999,114
6593,Kawawacho,POINT(139.548943574728 35.5282059157336),2001,2008,999999,114
6603,Nakayama,POINT(139.540088223898 35.5147168228579),2001,2008,999999,114
7767,Noailles,POINT(5.3812904 43.2968568),,1984,999999,74
6604,Nakagawa,POINT(139.569951572954 35.5629889917838),1993,1993,999999,114
6633,Yamate,POINT(139.646242790146 35.4273106943887),1964,1964,999999,114
6628,Isogo,POINT(139.617949674273 35.3999007525282),1964,1964,999999,114
6630,Ofuna,POINT(139.531004898557 35.3534861440573),1973,1973,999999,114
8539,Ambroise Paré,POINT(4.8839085 45.7415448),0,0,999999,70
6634,Negishi,POINT(139.635561177102 35.41572411475),1964,1964,999999,114
7770,Désirée Clary,POINT(5.3722463 43.3092903),,1987,999999,74
6635,Shin-Sugita,POINT(139.619569066501 35.3865647079125),1970,1970,999999,114
8541,Essarts-Iris,POINT(4.8982142 45.7372209),0,0,999999,70
8795,López Camelo,POINT(-58.6775223996979 -34.4468534249595),1892,1892,999999,1
13713,Sands Street,POINT(-73.9900595885681 40.6999957881726),1888,1888,1944,206
8974,Tomiokacho,POINT(139.800627179066 35.6699825823586),1914,1914,1972,114
6596,Yokohama,POINT(139.62015378727 35.4654251826615),1976,1976,999999,114
6148,Kanagawa,POINT(139.627060691403 35.4709771767239),1905,1905,999999,114
6153,Shimbamba,POINT(139.741494980818 35.6164792121415),1904,1904,999999,114
6209,Hashimoto,POINT(139.344801670805 35.5946824680449),1908,1908,999999,114
6156,Tachiaigawa,POINT(139.7389395502 35.5986684008918),1904,1904,999999,114
6159,Umeyashiki,POINT(139.728363236273 35.5669756454056),1901,1901,999999,114
6162,Rokugodote,POINT(139.707640791376 35.5406527031063),1906,1906,999999,114
6212,Katakura,POINT(139.341631647364 35.6399009650497),1957,1957,999999,114
6165,Keikyu-Tsurumi,POINT(139.677893240548 35.5073256682693),1905,1905,999999,114
6168,Keikyu-Shinkoyasu,POINT(139.65545282872 35.4870965577841),1910,1910,999999,114
6618,Yoshinocho,POINT(139.61848759233 35.4353856411253),1972,1972,999999,114
6171,Nakakido,POINT(139.63455892287 35.477249704848),1905,1905,999999,114
6174,Minami-Ota,POINT(139.613569376321 35.4368420179102),1930,1930,999999,114
8552,Esplanade des Arts,POINT(4.940614 45.6945021),0,0,999999,70
6177,Kamiooka,POINT(139.596682722922 35.4090370605518),1930,1930,999999,114
6619,Maita,POINT(139.609945042307 35.4299129111588),1972,1972,999999,114
6180,Keikyu-Tomioka,POINT(139.629740189841 35.367175548311),1930,1930,999999,114
6183,Kanazawa-hakkei,POINT(139.620146000426 35.3313992946664),1930,1930,999999,114
6186,Anjinzuka,POINT(139.642971149448 35.2867535173713),1934,1934,999999,114
6620,Gumyoji,POINT(139.602068198375 35.4232207153458),1972,1972,999999,114
6189,Yokosuka-chuo,POINT(139.670685667336 35.2784006308715),1930,1930,999999,114
6192,Keikyu-Otsu,POINT(139.695890007929 35.2609119300133),1930,1930,999999,114
7773,Bougainville,POINT(5.3714311 43.3208404),1987,1987,999999,74
6194,Higashi-Kanagawa,POINT(139.633440502674 35.4778413432138),1908,1908,999999,114
6621,Konan-chuo,POINT(139.590784745212 35.4010349778525),1976,1976,999999,114
6197,Shin-Yokohama,POINT(139.617259892207 35.5067966599401),1964,1964,999999,114
6200,Nakayama,POINT(139.53946670973 35.5146909799048),1908,1908,999999,114
6203,Naruse,POINT(139.473017421134 35.5353048592778),1979,1979,999999,114
6622,Shimonagaya,POINT(139.558507521334 35.4020085744408),1985,1985,999999,114
6206,Fuchinobe,POINT(139.395026193045 35.5686026577801),1908,1908,999999,114
8543,Hôtel de Ville - Bron,POINT(4.9091102 45.7334086),0,0,999999,70
6623,Odoriba,POINT(139.518517958768 35.4057134843064),1999,1999,999999,114
8545,Les Alizés,POINT(4.9147571 45.7315444),0,0,999999,70
6624,Nakada,POINT(139.510963037045 35.4113213856274),1999,1999,999999,114
6625,Tateba,POINT(139.500154793176 35.4143246501143),1999,1999,999999,114
8550,Alfred de Vigny,POINT(4.9361599 45.6996144),0,0,999999,70
6626,Shimoiida,POINT(139.482852036884 35.4036432446408),1999,1999,999999,114
8796,El Talar,POINT(-58.6462462627403 -34.4626893095089),1892,1892,999999,1
6627,Sakuragicho,POINT(139.63099762217 35.4510533787599),1915,1915,999999,114
6629,Yokodai,POINT(139.596778203605 35.3787702178489),1970,1970,999999,114
8554,Cordière,POINT(4.9497481 45.6936754),0,0,999999,70
8556,Hauts de Feuilly,POINT(4.9376463 45.7081204),0,0,999999,70
16721,Alvik,POINT(17.9818761076885 59.3334397166707),0,0,999999,110
8558,Europe Université,POINT(4.9181416 45.7196338),0,0,999999,70
8799,Solís,POINT(-59.3207718674114 -34.2952020026337),1863,1894,1992,1
8808,Maguirre,POINT(-60.2962988022461 -33.9543591465177),1863,1894,1992,1
8810,Fontezuela,POINT(-60.4626542516202 -33.9142248411216),1863,1894,1992,1
8811,Pergamino,POINT(-60.5685699756272 -33.889360280453),1863,1894,1992,1
8797,Dr. Schweitzer,POINT(-58.5743613111505 -34.4720484246591),1892,1892,999999,1
23417,Nonneseter,POINT(5.33258987435329 60.3901021392408),2007,2010,,344
6214,Shin-Kamagaya,POINT(139.998434880439 35.779523842887),1991,1991,999999,114
7774,Les Courtilles,POINT(2.2835455 48.930134),2012,2012,999999,95
6636,Konandai,POINT(139.576693636748 35.3752825206852),1973,1973,999999,114
6637,Hongodai,POINT(139.550202580097 35.3679116416591),1973,1973,999999,114
16722,Åkeshov,POINT(17.9235478696796 59.3421840122675),0,0,999999,110
7796,Delaunay-Belleville,POINT(2.3472717 48.9455096),2010,2014,999999,95
20406,Bujeon,POINT(129.063002043089 35.1626250974915),1981,1985,999999,357
7778,Timbaud,POINT(2.3013836 48.933304),,2012,999999,95
7780,Gare de Gennevilliers,POINT(2.3068344 48.9334134),,2012,999999,95
7808,Hôtel de ville de Bobigny,POINT(2.4439985 48.906551),,1992,999999,95
7782,La Noue,POINT(2.3271349 48.9349884),,2012,999999,95
7784,L'Ile-Saint-Denis,POINT(2.3394701 48.9357361),,2012,999999,95
7794,Saint-Denis - Gare,POINT(2.3478775 48.9352954),2010,2014,999999,95
7786,Théâtre Gérard Philippe,POINT(2.3504118 48.9375007),,1992,999999,95
7788,Marché de Saint-Denis,POINT(2.3558735 48.9385745),,1992,999999,95
7792,Pierre de Geyter,POINT(2.3527441 48.9320536),2010,2014,999999,95
7798,Saint-Denis - Gare,POINT(2.3478483 48.9352814),2010,2014,999999,95
7803,Stade Géo André,POINT(2.4020606 48.9243584),,1992,999999,95
7790,Hôpital Delafontaine,POINT(2.3710898 48.9335969),,1992,999999,95
7800,Hôpital Delafontaine,POINT(2.3710811 48.9335752),,1992,999999,95
7802,Stade Géo André,POINT(2.4020893 48.9243831),,1992,999999,95
117,"Alcantara

",POINT(-70.5897044541862 -33.4153930614534),1974,1980,999999,4
7806,Bobigny - Pablo Picasso,POINT(2.4499853 48.9065465),,1992,999999,95
7804,Libération,POINT(2.4385726 48.9069335),,1992,999999,95
7813,Puteaux,POINT(2.2337961 48.8832813),,1997,999999,95
7815,Belvédère,POINT(2.22595 48.8760231),,1997,999999,95
7811,Faubourg de l'Arche,POINT(2.240068 48.8966263),2008,2012,999999,95
7776,Le Village,POINT(2.2948343 48.933378),2012,2012,999999,95
8798,Diego Gaynor,POINT(-59.2250649566657 -34.2869396278584),1900,1900,1992,1
6215,Komuro,POINT(140.076251832515 35.7869413719912),1979,1979,999999,114
7791,Saint-Denis - Porte de Paris,POINT(2.3571162 48.9298414),2010,2014,999999,95
3533,Varginha,POINT(-46.7147879308226 -23.76661726739),2013,,999999,106
6638,Mendes,POINT(-46.7067964380596 -23.7485930477133),2013,,999999,106
7775,Le Luth,POINT(2.2888637 48.9318565),2012,2012,999999,95
7777,Timbaud,POINT(2.3012942 48.9327702),,2012,999999,95
7814,Belvédère,POINT(2.2259596 48.8759807),,1997,999999,95
7799,Saint-Denis - Porte de Paris,POINT(2.3571198 48.9298182),2010,2014,999999,95
7781,Parc des Chanteraines,POINT(2.3132449 48.9339222),,2012,999999,95
7779,Chemin des Reniers,POINT(2.3215237 48.934591),,2012,999999,95
7783,Mairie de Villeneuve-la-Garenne,POINT(2.3343135 48.9355899),,2012,999999,95
7785,Gare de Saint-Denis,POINT(2.3461736 48.9360352),,1992,999999,95
7795,Paul Éluard,POINT(2.3451524 48.9397244),2010,2014,999999,95
7789,Marché de Saint-Denis,POINT(2.3558546 48.9386097),,1992,999999,95
7797,Pierre de Geyter,POINT(2.3527215 48.9320322),2010,2014,999999,95
7809,Libération,POINT(2.4386273 48.9069442),,1992,999999,95
7801,Cimetière de Saint-Denis,POINT(2.3632048 48.9365989),,1992,999999,95
7787,Cimetière de Saint-Denis,POINT(2.3640076 48.9362457),,1992,999999,95
7812,Puteaux,POINT(2.2338074 48.8832604),,1997,999999,95
7807,Hôtel de ville de Bobigny,POINT(2.4439977 48.9065183),,1992,999999,95
7805,Bobigny - Pablo Picasso,POINT(2.4499858 48.9065218),,1992,999999,95
7816,Suresnes - Longchamp‎,POINT(2.221418 48.8682976),,1997,999999,95
8812,Carlos Keen,POINT(-59.219761902319 -34.4867106414878),1875,1881,1992,1
135,"Dorsal

",POINT(-70.6427298779366 -33.3967948423544),2002,2006,999999,4
7820,Les Coteaux,POINT(2.2205443 48.8573809),,1997,999999,95
7818,Les Milons,POINT(2.2212274 48.8498416),,1997,999999,95
7810,Faubourg de l'Arche,POINT(2.2400947 48.8967075),2008,2012,999999,95
7793,Paul Éluard,POINT(2.3451844 48.9397146),2010,2014,999999,95
8801,San Antonio de Areco,POINT(-59.4809218725694 -34.2579592680252),1863,1894,1992,1
8802,Duggan,POINT(-59.634676036562 -34.2137248008543),1863,1894,1992,1
8800,Vagués,POINT(-59.4443198509082 -34.2994131739574),1863,1881,1992,1
6643,Aeroporto,POINT(-46.4928078074659 -23.4326400933044),2013,2018,999999,106
6216,Chiba Newtown Chuo,POINT(140.116558190279 35.8002491362664),1984,1984,999999,114
7817,Suresnes - Longchamp‎,POINT(2.2213691 48.8682858),,1997,999999,95
23418,Bystasjonen,POINT(5.33391761054307 60.3879582289611),2007,2010,,344
7827,Brimborion,POINT(2.2314246 48.8221947),,1997,999999,95
13712,Sands Street,POINT(-73.9909195185139 40.7000028855033),1888,1888,1940,206
32664,Gifu Perf (Tentative Name),POINT(137.447516082672 35.4801226867042),2017,2027,,84
801,Zhongshan Bei Lu (North Zhongshan Road),POINT(121.454837271715 31.2599082035625),0,2004,999999,107
7835,Issy Val-de-Seine,POINT(2.2629292 48.8295975),,1997,999999,95
8561,Eurexpo,POINT(4.948133 45.7318991),0,0,999999,70
7819,Les Coteaux,POINT(2.2205967 48.8573704),,1997,999999,95
7821,Les Milons,POINT(2.2211954 48.8498326),,1997,999999,95
831,Loushanguan Lu (Loushanguan Road),POINT(121.399503650211 31.2128819292004),0,2006,999999,107
6642,Engenheiro Goulart,POINT(-46.520474164089 -23.4977495080526),2013,2017,999999,106
7823,Parc de Saint-Cloud‎,POINT(2.221779 48.843015),,1997,999999,95
7829,Meudon-sur-Seine,POINT(2.2391217 48.8192139),,1997,999999,95
7831,Jacques-Henri Lartigue,POINT(2.2605181 48.8247756),,1997,999999,95
7825,Musée de Sèvres,POINT(2.2253758 48.8287528),,1997,999999,95
7833,Les Moulineaux,POINT(2.2510185 48.8214549),,1997,999999,95
8563,De Tassigny - Curial,POINT(4.9169831 45.7357549),0,0,999999,70
